"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1325546","39.892701","-104.958566","243",
"1325546","39.892685","-104.958541","244",
"1325546","39.892685","-104.958541","245",
"1325546","39.892669","-104.958517","246",
"1325546","39.892669","-104.958517","247",
"1325546","39.892653","-104.958492","248",
"1325546","39.892653","-104.958492","249",
"1325546","39.892637","-104.958467","250",
"1325546","39.892637","-104.958467","251",
"1325546","39.892621","-104.958442","252",
"1325546","39.892621","-104.958442","253",
"1325546","39.892605","-104.958418","254",
"1325546","39.892605","-104.958418","255",
"1325546","39.892589","-104.958393","256",
"1325546","39.892589","-104.958393","257",
"1325546","39.888361","-104.95179","258",
"1325546","39.888361","-104.95179","259",
"1325546","39.888122","-104.951417","260",
"1325546","39.888122","-104.951417","261",
"1325546","39.887697","-104.950808","262",
"1325546","39.887697","-104.950808","263",
"1325546","39.887674","-104.950775","264",
"1325546","39.887674","-104.950775","265",
"1325546","39.887651","-104.950742","266",
"1325546","39.887651","-104.950742","267",
"1325546","39.887628","-104.950709","268",
"1325546","39.887628","-104.950709","269",
"1325546","39.887605","-104.950676","270",
"1325546","39.887605","-104.950676","271",
"1325546","39.887582","-104.950643","272",
"1325546","39.887582","-104.950643","273",
"1325546","39.88756","-104.95061","274",
"1325546","39.88756","-104.95061","275",
"1325546","39.887537","-104.950576","276",
"1325546","39.887537","-104.950576","277",
"1325546","39.887514","-104.950543","278",
"1325546","39.887514","-104.950543","279",
"1325546","39.887408","-104.950384","280",
"1325546","39.887408","-104.950384","281",
"1325546","39.887386","-104.95035","282",
"1325546","39.887386","-104.95035","283",
"1325546","39.887363","-104.950316","284",
"1325546","39.887363","-104.950316","285",
"1325546","39.887341","-104.950282","286",
"1325546","39.887341","-104.950282","287",
"1325546","39.887319","-104.950248","288",
"1325546","39.887319","-104.950248","289",
"1325546","39.887297","-104.950214","290",
"1325546","39.887297","-104.950214","291",
"1325546","39.887275","-104.950179","292",
"1325546","39.887275","-104.950179","293",
"1325546","39.887253","-104.950145","294",
"1325546","39.887253","-104.950145","295",
"1325546","39.887231","-104.950111","296",
"1325546","39.887231","-104.950111","297",
"1325546","39.882339","-104.942474","298",
"1325546","39.882339","-104.942474","299",
"1325546","39.882326","-104.942454","300",
"1325546","39.882326","-104.942454","301",
"1325546","39.882313","-104.942434","302",
"1325546","39.882313","-104.942434","303",
"1325546","39.8823","-104.942414","304",
"1325546","39.8823","-104.942414","305",
"1325546","39.882287","-104.942393","306",
"1325546","39.882287","-104.942393","307",
"1325546","39.882274","-104.942373","308",
"1325546","39.882274","-104.942373","309",
"1325546","39.882261","-104.942353","310",
"1325546","39.882261","-104.942353","311",
"1325546","39.882248","-104.942333","312",
"1325546","39.882248","-104.942333","313",
"1325546","39.882235","-104.942313","314",
"1325546","39.882235","-104.942313","315",
"1325546","39.882222","-104.942292","316",
"1325546","39.882222","-104.942292","317",
"1325546","39.882209","-104.942272","318",
"1325546","39.882209","-104.942272","319",
"1325546","39.882196","-104.942252","320",
"1325546","39.882196","-104.942252","321",
"1325546","39.882182","-104.942232","322",
"1325546","39.882182","-104.942232","323",
"1325546","39.882169","-104.942212","324",
"1325546","39.882169","-104.942212","325",
"1325546","39.882156","-104.942193","326",
"1325546","39.882156","-104.942193","327",
"1325546","39.882142","-104.942173","328",
"1325546","39.882142","-104.942173","329",
"1325546","39.882129","-104.942153","330",
"1325546","39.882129","-104.942153","331",
"1325546","39.882115","-104.942133","332",
"1325546","39.882115","-104.942133","333",
"1325546","39.882102","-104.942113","334",
"1325546","39.882102","-104.942113","335",
"1325546","39.882088","-104.942094","336",
"1325546","39.882088","-104.942094","337",
"1325546","39.882075","-104.942074","338",
"1325546","39.882075","-104.942074","339",
"1325546","39.882061","-104.942055","340",
"1325546","39.882061","-104.942055","341",
"1325546","39.882047","-104.942036","342",
"1325546","39.882047","-104.942036","343",
"1325546","39.882033","-104.942016","344",
"1325546","39.882033","-104.942016","345",
"1325546","39.882019","-104.941997","346",
"1325546","39.882019","-104.941997","347",
"1325546","39.882005","-104.941978","348",
"1325546","39.882005","-104.941978","349",
"1325546","39.881898","-104.94184","350",
"1325546","39.881898","-104.94184","351",
"1325546","39.881787","-104.941708","352",
"1325546","39.881787","-104.941708","353",
"1325546","39.881672","-104.941583","354",
"1325546","39.881672","-104.941583","355",
"1325546","39.881552","-104.941464","356",
"1325546","39.881552","-104.941464","357",
"1325546","39.881429","-104.941352","358",
"1325546","39.881429","-104.941352","359",
"1325546","39.881302","-104.941247","360",
"1325546","39.881302","-104.941247","361",
"1325546","39.881171","-104.941149","362",
"1325546","39.881171","-104.941149","363",
"1325546","39.881038","-104.941059","364",
"1325546","39.881038","-104.941059","365",
"1325546","39.880901","-104.940976","366",
"1325546","39.880901","-104.940976","367",
"1325546","39.880762","-104.9409","368",
"1325546","39.880762","-104.9409","369",
"1325546","39.880621","-104.940833","370",
"1325546","39.880621","-104.940833","371",
"1325546","39.880477","-104.940774","372",
"1325546","39.880477","-104.940774","373",
"1325546","39.880332","-104.940722","374",
"1325546","39.880332","-104.940722","375",
"1325546","39.880185","-104.940679","376",
"1325546","39.880185","-104.940679","377",
"1325546","39.880037","-104.940644","378",
"1325546","39.880037","-104.940644","379",
"1325546","39.879887","-104.940618","380",
"1325546","39.879887","-104.940618","381",
"1325546","39.879737","-104.940599","382",
"1325546","39.879737","-104.940599","383",
"1325546","39.879717","-104.940598","384",
"1325546","39.879717","-104.940598","385",
"1325546","39.879697","-104.940596","386",
"1325546","39.879697","-104.940596","387",
"1325546","39.879677","-104.940594","388",
"1325546","39.879677","-104.940594","389",
"1325546","39.879656","-104.940593","390",
"1325546","39.879656","-104.940593","391",
"1325546","39.879636","-104.940592","392",
"1325546","39.879636","-104.940592","393",
"1325546","39.879616","-104.940591","394",
"1325546","39.879616","-104.940591","395",
"1325546","39.879596","-104.94059","396",
"1325546","39.879596","-104.94059","397",
"1325546","39.879575","-104.940589","398",
"1325546","39.879575","-104.940589","399",
"1325546","39.879555","-104.940588","400",
"1325546","39.879555","-104.940588","401",
"1325546","39.879535","-104.940587","402",
"1325546","39.879535","-104.940587","403",
"1325546","39.879514","-104.940587","404",
"1325546","39.879514","-104.940587","405",
"1325546","39.879494","-104.940586","406",
"1325546","39.879494","-104.940586","407",
"1325546","39.879474","-104.940586","408",
"1325546","39.879474","-104.940586","409",
"1325546","39.879453","-104.940585","410",
"1325546","39.879453","-104.940585","411",
"1325546","39.879433","-104.940585","412",
"1325546","39.879433","-104.940585","413",
"1325546","39.879413","-104.940585","414",
"1325546","39.879413","-104.940585","415",
"1325546","39.879393","-104.940584","416",
"1325546","39.879393","-104.940584","417",
"1325546","39.879372","-104.940584","418",
"1325546","39.879372","-104.940584","419",
"1325546","39.879352","-104.940584","420",
"1325546","39.879352","-104.940584","421",
"1325546","39.879332","-104.940584","422",
"1325546","39.879332","-104.940584","423",
"1325546","39.879311","-104.940584","424",
"1325546","39.879311","-104.940584","425",
"1325546","39.879291","-104.940584","426",
"1325546","39.879291","-104.940584","427",
"1325546","39.879271","-104.940584","428",
"1325546","39.879271","-104.940584","429",
"1325546","39.87925","-104.940584","430",
"1325546","39.87925","-104.940584","431",
"1325546","39.87923","-104.940584","432",
"1325546","39.87923","-104.940584","433",
"1325546","39.878919","-104.940585","434",
