"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"24968","24968","Highlands Ranch Pkwy & Lucent Blvd","Vehicles Travelling West","39.545962","-105.005772",,,"0",,,"1"
"11632","11632","70th Ave & Monaco St","Vehicles Travelling East","39.823799","-104.912336",,,"0",,,"1"
"13065","13065","Colorado Blvd & 36th Ave","Vehicles Travelling North","39.767293","-104.94042",,,"0",,,"1"
"14415","14415","Huron St & W 112th Ave","Vehicles Travelling South","39.89931","-104.996788",,,"0",,,"1"
"34114","34114","16th Street / California Station","Vehicles Travelling North","39.744864","-104.992508",,,"1",,,"0"
"17844","17844","S Main St & Quebec Ave","Vehicles Travelling South","40.14157","-105.102641",,,"0",,,"1"
"25493","25493","36th Ave & Quebec St","Vehicles Travelling East","39.767289","-104.901783",,,"0",,,"1"
"15018","15018","W Littleton Blvd & S Spotswood St","Vehicles Travelling East","39.613135","-105.010982",,,"0",,,"1"
"17848","17848","Main St & 21st Ave","Vehicles Travelling South","40.197547","-105.102592",,,"0","33847",,"1"
"15346","15346","Mississippi Ave & S Elizabeth St","Vehicles Travelling West","39.696613","-104.95613",,,"0",,,"1"
"17348","17348","Yale Ave & S Norman Ct","Vehicles Travelling East","39.667569","-104.908775",,,"0",,,"1"
"24736","24736","32nd Ave & Ouray St","Vehicles Travelling West","39.762017","-104.792666",,,"0",,,"1"
"25036","25036","S Santa Fe Dr & Town Center Dr","Vehicles Travelling North","39.546697","-105.036247",,,"0",,,"1"
"33810","33810","Genesee Park","Vehicles Travelling North","39.711016","-105.294117",,,"1",,,"0"
"35012","35012","Alameda Station Gate F","Vehicles Travelling South","39.708841","-104.9925",,,"0","33704",,"1"
"33046","33046","Poplar St & Poplar Ct","Vehicles Travelling North","39.825163","-104.905142",,,"0",,,"1"
"12513","12513","Broadway & Elder Ave","Vehicles Travelling North","40.030434","-105.282028",,,"0",,,"1"
"13503","13503","S Eastmoor Dr & Quincy Ave","Vehicles Travelling North","39.63914","-104.903855",,,"0",,,"1"
"34385","34385","Wewatta St & 17th St","Vehicles Travelling Northeast","39.754143","-105.001356",,,"0","33727",,"1"
"16863","16863","S University Blvd & Orchard Rd","Vehicles Travelling North","39.608875","-104.959862",,,"0",,,"1"
"26017","26017","88th Ave & Fish Hatchery Rd","Vehicles Travelling West","39.856296","-104.924673",,,"0",,,"1"
"26255","26255","Central Park Blvd & 23rd Ave","Vehicles Travelling North","39.749891","-104.886873",,,"0",,,"1"
"35392","35392","W 55th Ave & Vance St","Vehicles Travelling West","39.796332","-105.07965",,,"0",,,"1"
"22256","22256","S Parker Rd & Jamison Ave","Vehicles Travelling Northwest","39.579237","-104.792782",,,"0",,,"1"
"15082","15082","S Lowell Blvd & W Aqueduct Ave","Vehicles Travelling North","39.61953","-105.035399",,,"0",,,"1"
"11032","11032","W 38th Ave & Owens St","Vehicles Travelling West","39.76929","-105.120766",,,"0",,,"1"
"13081","13081","Colorado Blvd & 9th Ave","Vehicles Travelling North","39.731922","-104.940494",,,"0",,,"1"
"35408","35408","CO 42 & Baseline Rd","Vehicles Travelling South","40.000625","-105.131245",,,"0",,,"1"
"14085","14085","Gillaspie Dr & Berea Dr","Vehicles Travelling Northeast","39.975296","-105.249098",,,"0",,,"1"
"25234","25234","S Quebec St & Bayaud Ave","Vehicles Travelling South","39.714872","-104.903835",,,"0",,,"1"
"20239","20239","S Buckley Rd & Mexico Ave","Vehicles Travelling South","39.685301","-104.791165",,,"0",,,"1"
"23378","23378","Francis St & Sharpe Pl","Vehicles Travelling North","40.176209","-105.116454",,,"0",,,"1"
"16145","16145","S Quebec St & Amherst Ave","Vehicles Travelling Northwest","39.666209","-104.902923",,,"0",,,"1"
"33485","33485","6400 Block South Boulder Rd","Vehicles Travelling West","39.986336","-105.203408",,,"0",,,"1"
"12503","12503","Broadway & Cragmore St","Vehicles Travelling North","39.833092","-104.987191",,,"0",,,"1"
"33839","33839","Hale Pkwy & Dahlia St","Vehicles Travelling Southeast","39.732829","-104.931875",,,"0",,,"1"
"25012","25012","W Grant Ranch Blvd & W Dorado Dr E","Vehicles Travelling North","39.612092","-105.056903",,,"0",,,"1"
"16940","16940","Wadsworth Blvd & W 10th Ave","Vehicles Travelling North","39.733408","-105.081323",,,"0",,,"1"
"10413","10413","1st Ave & Fillmore Plaza","Vehicles Travelling East","39.717975","-104.95362",,,"0",,,"1"
"25363","25363","W Mississippi Ave & S Sheridan Blvd","Vehicles Travelling East","39.696731","-105.054183",,,"0",,,"1"
"10980","10980","W 38th Ave & Depew St","Vehicles Travelling East","39.769263","-105.057317",,,"0",,,"1"
